number,value,datetime_start,datetime_complete,duration,params_DROPOUT,params_EPS,params_KERNEL_1,params_KERNEL_2,params_KERNEL_3,params_LR,params_OUT_CHANNELS_1,params_OUT_CHANNELS_2,params_OUT_CHANNELS_3,params_PADDING_1,params_PADDING_2,params_PADDING_3,params_RNNLAYER,params_RNNSIZE,params_STRIDE_1,params_STRIDE_2,params_STRIDE_3,params_WD,params_hidden1,params_hidden2,params_hidden3,params_poolsize1,params_poolsize2,params_poolsize3,system_attrs_nsga2:generation,state
1,0.0163546279072762,2024-10-07 23:09:31.324106,2024-10-07 23:12:04.684802,0 days 00:02:33.360696,0.5,0.00000001,25,30,60,0.0001,32,4,4,3,0,2,4,64,3,3,1,0.0001,1024,512,256,4,1,4,0,COMPLETE
2,0.0163034131484372,2024-10-08 02:39:28.493742,2024-10-08 02:53:13.389762,0 days 00:13:44.896020,0.4,0.00000001,5,25,55,0.0001,32,2,2,0,2,1,4,8,1,3,1,0.000001,1024,512,0,2,1,4,0,COMPLETE
3,0.0176661603951028,2024-10-07 00:38:40.860249,2024-10-07 00:41:06.669868,0 days 00:02:25.809619,0.2,0.00000001,25,25,45,0.0001,32,4,4,3,0,2,2,16,3,1,1,0.000001,128,256,128,2,4,4,0,COMPLETE
4,0.0180916732975415,2024-10-08 03:12:40.490518,2024-10-08 03:35:59.907686,0 days 00:23:19.417168,0.2,0.00000001,25,30,50,0.0001,64,8,8,0,0,1,4,64,1,2,2,0.000001,1024,128,256,2,2,1,0,COMPLETE
5,0.0174228768529637,2024-10-08 02:53:13.432542,2024-10-08 02:57:46.226242,0 days 00:04:32.793700,0.3,0.00000001,20,35,55,0.0001,32,2,2,3,0,1,2,16,2,2,3,0.0001,256,64,32,2,1,2,0,COMPLETE
