KIC,Kp,T_eff,T_eff err,Power,Power err,nu_max,nu_max err,logg,logg err
7449835,12.335,6593,191,4.79484,9.630867,1854.06749,1884.105849,4.244857,0.441331
7450059,11.685,4725,80,24566.945855,7742.010573,43.10581,7.323276,2.538927,0.073783
7450230,9.079,4813,80,1064.785253,46.116362,194.578848,7.348333,3.197494,0.016401
7450736,11.638,6552,179,27.56601,4.052695,799.160166,86.993965,3.878011,0.047276
7451634,13.191,5152,154,678.865927,61.568835,225.606229,17.203985,3.276529,0.033118
7455219,12.963,4862,152,170695.362674,262534.514924,16.326943,12.724114,2.123503,0.33846
7455461,11.671,5872,174,204.013384,29.558291,348.182922,37.177228,3.493391,0.046372
7456520,13.362,4762,148,28488.973607,5366.734622,39.802695,4.875208,2.505998,0.053194
7457278,11.36,6053,166,3.399231,2.189833,2453.218006,853.250167,4.347912,0.151051
7459180,12.951,5004,80,6350.985711,539.782246,78.485015,4.554095,2.811636,0.0252
7459397,12.195,6209,168,10.863306,7.656876,1349.970753,509.87509,4.094026,0.16403
7459414,11.296,6242,167,1.972212,2.107757,3072.59556,1703.314254,4.452358,0.240754
7460447,12.891,4921,80,10583.137387,1180.151709,62.304916,4.418393,2.707739,0.030798
7460625,12.69,5011,160,56671.950859,54810.16876,27.048149,13.619297,2.34929,0.218676
7461601,13.428,4810,148,17549.302052,4150.159601,49.869236,7.274276,2.606096,0.063349
7461851,13.094,4571,80,320372.649957,81249.442903,12.776237,1.78846,2.003599,0.060794
7461975,11.517,5139,148,418.384195,14.5497,286.223236,13.688264,3.379335,0.02077
7462181,12.623,4969,143,1207.500441,67.870008,177.169899,10.133399,3.163715,0.02484
7463286,13.218,6007,180,23.214531,30.602012,973.533093,660.390812,3.94487,0.294601
7464220,13.126,4918,80,2382.374207,228.311143,128.697394,8.145862,3.022654,0.027489
7464560,12.436,4785,146,28464.519467,8966.875739,39.62843,7.276624,2.505138,0.079746
7465072,11.336,6309,80,7.791271,2.206517,1553.873548,239.868468,4.158586,0.067041
7465092,12.62,6159,171,11.65757,14.37017,1318.15116,836.878623,4.081911,0.275728
7465477,11.37,4866,80,3174.666676,632.427428,113.157116,12.84812,2.964458,0.049311
7465993,10.697,5019,80,1840.427616,179.396102,142.852817,9.155822,3.072388,0.027835
7466616,11.875,5013,80,4784.409913,423.014651,89.900445,5.366066,2.871001,0.025923
7466638,11.715,6161,169,12.411889,3.368151,1278.051606,213.700174,4.068564,0.072617
7466832,12.349,6975,224,17.241855,10.212006,918.983529,307.567959,3.95227,0.145351
7467171,10.879,6284,168,2.622828,1.456131,2651.62662,808.609265,4.389821,0.132437
7467708,11.56,6485,177,5.737058,3.30234,1738.01407,550.539526,4.213199,0.137569
7467807,13.029,4858,153,215778.891382,54283.152411,14.581191,2.249042,2.074212,0.066987
7468404,10.513,5017,80,3796.460087,238.524582,100.513294,4.749465,2.919636,0.020521
7468893,11.758,4879,80,4430.657578,370.651535,95.969949,5.506348,2.893491,0.024918
7469364,12.157,6277,179,54.15698,8.041914,609.583802,66.794286,3.7511,0.047587
7469543,12.517,5023,160,32941.822528,4795.787261,35.121631,3.659325,2.463247,0.045249
7470693,11.631,6299,177,7.6119,2.97133,1574.851572,357.042087,4.164066,0.098461
7499190,12.321,6052,166,57.868663,23.944941,618.664673,145.88348,3.749595,0.102408
7499367,12.708,5685,174,56.296429,37.137629,676.96964,241.676259,3.775125,0.155042
7499531,12.596,4816,80,10506.064614,4674.847128,63.913457,14.891493,2.714126,0.101188
7500061,11.196,6394,170,18.238994,17.528093,1009.615477,507.465633,3.974233,0.218291
7500161,10.682,5263,147,5.603011,2.92815,2269.451046,646.177277,4.283728,0.123656
7501656,11.384,5184,152,1552.707849,95.240223,149.900512,9.229417,3.100326,0.02674
7501667,12.731,4724,80,1660.773215,87.849329,159.712055,6.775749,3.107683,0.018425
7501722,12.35,4761,80,3592.319289,844.175486,108.922783,14.261856,2.943158,0.056865
7501913,12.779,6040,165,19.326376,21.264465,1056.942997,601.692644,3.98176,0.247234
7502108,12.873,6107,187,18.850104,20.136663,1054.968951,588.993484,3.983344,0.242468
7502157,12.724,4815,80,13790.525177,6285.122781,56.009209,13.343593,2.656748,0.103466
7502278,13.135,6517,183,36.635919,36.815735,701.075604,369.242099,3.819979,0.228734
7502469,13.023,5315,149,21.253648,37.69162,1174.268772,1048.76182,3.999709,0.387877
7502686,12.198,5423,158,378.801968,25.215889,283.084667,18.503995,3.386226,0.028388
7504110,12.95,4858,80,133543.446625,74227.697425,18.411174,5.281833,2.175501,0.124591
7504226,13.049,5062,158,384.840875,34.223435,302.923193,23.093214,3.400684,0.033108
7504619,12.136,4854,80,751.362423,35.222429,228.544762,9.02738,3.269211,0.017154
7504634,10.988,6703,180,45.457387,3.254678,607.21952,43.967084,3.763671,0.031446
7506947,13.066,5190,181,446.598027,41.898475,274.347969,22.884933,3.363076,0.036227
7509258,11.901,6353,171,22.756114,6.084193,914.464775,151.509912,3.929847,0.071955
7509720,13.28,5184,157,10539.343523,6549.460918,59.092811,19.787436,2.696057,0.145425
7509923,13.242,5021,152,1527.056688,261.806073,156.354067,17.994613,3.111695,0.049982
7510002,13.198,5104,150,542.185708,53.54196,254.192851,20.167122,3.326309,0.034456
7510397,7.771,6171,80,4.620481,0.223573,2061.742671,82.950218,4.276603,0.017473
7510539,13.225,5063,100,1296.128064,109.669205,167.845392,10.409651,3.144304,0.026935
7510604,11.407,4921,100,19557.601733,2993.379383,46.226317,4.404724,2.578106,0.041382
7510918,12.892,4829,100,201577.848587,91277.385931,15.163353,3.654182,2.089914,0.10466
7510978,12.976,5261,156,100.391204,23.987001,558.386137,83.048215,3.674659,0.064592
7511123,12.817,4897,100,50422.277649,3423.860152,29.318835,1.580214,2.379302,0.023407
7511539,12.641,5257,149,50.354594,15.411637,781.535873,140.593854,3.820508,0.078127
7511774,13.277,6227,175,17.098841,32.602908,1078.784953,1039.246826,3.997265,0.418377
7513379,11.94,5112,100,2831.487545,200.916222,113.634589,6.293319,2.976996,0.024052
7513628,12.689,5150,100,421.199072,27.374992,284.636991,14.938546,3.377385,0.022793
7513812,11.949,5196,158,24882.637503,4.947769,38.824408,1.285336,2.51413,0.014378
7514250,13.052,5965,171,13.154716,25.141345,1294.381488,1248.673411,4.067058,0.418958
7515022,12.463,5962,80,22.625098,11.778528,995.090929,268.430772,3.952749,0.117153
7515137,12.155,4639,100,14656.797607,2515.709942,56.411579,5.884873,2.651771,0.045306
7515336,12.715,5685,80,24.812544,16.370003,1008.12486,340.132343,3.94807,0.146527
7515442,12.225,5370,153,89.730002,9.165197,576.42657,47.043518,3.692921,0.035444
7515516,10.435,5142,100,3435.78648,618.27433,102.790698,11.138354,2.93471,0.04706
7516024,13.359,5324,160,2202.104385,326.978475,122.840486,12.97197,3.019651,0.045862
7516156,12.841,5345,100,1087.290836,250.468072,172.349486,22.898547,3.167574,0.057701
7516929,12.508,4910,80,494.251921,35.553028,276.88868,14.308947,3.355036,0.022443
7518143,12.217,5021,100,1658.158295,102.481794,150.21814,7.651066,3.094308,0.02212
7518163,11.719,6046,80,2.298117,3.38302,2971.705271,2175.989093,4.43093,0.318006
7518269,12.562,6343,180,10.976755,13.378584,1306.089517,822.865405,4.084311,0.273615
7518352,10.812,5056,100,6471.241531,402.077496,76.932333,3.930677,2.805203,0.022189
7518436,12.79,6114,172,27.443291,18.381264,877.64139,317.261924,3.90367,0.156995
7518511,12.285,6520,181,17.184549,9.153717,1012.265414,300.365144,3.979609,0.128866
7518518,13.475,5019,155,15645.756057,2245.923888,50.478442,5.156689,2.620605,0.044366
7522019,11.14,6654,80,212.788939,114.889529,289.709915,80.872239,3.440695,0.121233
7522297,11.429,4791,80,35444.419742,6919.834076,35.576897,3.970657,2.458571,0.048471
7523164,13.356,4951,154,6751.721915,657.259049,77.033449,6.123432,2.801216,0.034522
7523665,12.602,5301,152,45.022664,14.635801,817.679362,155.165371,3.841952,0.082413
7523875,11.395,4843,80,5644.761716,644.095309,85.956563,6.20398,2.844027,0.031346
7524100,12.808,6913,212,124.445369,19.959512,356.205863,43.546084,3.538725,0.053092
7524275,12.345,5068,177,190963.356178,45331.785698,14.809103,2.256355,2.090137,0.06617
7524567,12.93,4897,171,92538.659843,5799.625905,21.825895,1.44462,2.251127,0.028745
7529180,8.477,6700,84,51.488641,4.438479,571.898085,33.999012,3.737546,0.025819
7529215,11.537,4842,80,4383.403298,347.4701,97.220059,5.370785,2.897459,0.023992
7530088,13.374,5245,166,1773.599,119.340238,138.736492,9.348997,3.069254,0.029266
7530188,12.401,5023,158,129807.52146,176377.062143,18.034329,12.50589,2.173772,0.301161
7530401,11.936,5033,155,115734.630836,19693.3467,19.029012,2.190065,2.19752,0.049983
7530496,11.296,4778,141,24660.590549,7685.91609,42.552374,7.699753,2.535737,0.078585
7530690,9.969,6875,80,8.01696,0.621625,1361.546529,74.07132,4.119859,0.023627
7530847,12.68,6220,186,16.554279,15.58721,1097.494343,544.934249,4.004488,0.215638
7530849,12.506,4872,80,3297.146635,228.702774,110.95492,5.595329,2.956191,0.021901
7531119,12.288,4709,80,15852.340476,3168.802528,53.513631,6.09386,2.632119,0.049455
7531332,10.923,4899,80,4344.947927,1518.171374,96.48152,17.998502,2.896688,0.081017
7531908,12.55,4842,80,30691.024379,5598.981114,37.751759,3.978513,2.48664,0.045769
7531945,12.5,5084,163,27178.359804,6384.969348,38.07482,5.644359,2.500931,0.064382
7532002,13.481,5393,165,137.953801,44.44041,465.439113,88.922967,3.600968,0.082973
7532487,13.328,5084,154,1022.050502,60.470294,187.565787,11.42879,3.193447,0.026463
7532626,13.216,5077,156,90043.458781,24685.663849,21.301492,3.532785,2.248404,0.072026
7532885,13.022,4834,80,57862.797958,27350.318741,27.784826,6.847927,2.353151,0.107037
7533463,13.187,4592,80,38623.991073,19677.688871,35.570463,9.402921,2.449281,0.114804
7533496,12.438,4973,80,22632.068701,5851.05521,42.59422,6.064345,2.54485,0.061833
7533804,11.456,4815,80,6815.932346,478.928649,78.889842,4.012919,2.80551,0.022091
7533995,10.129,4677,80,5456.104532,290.312498,90.47249,3.852001,2.858691,0.018491
7534011,10.515,5583,80,13.143553,1.134125,1402.496665,82.263158,4.087526,0.025473
7534016,13.441,4981,159,50479.001825,3403.957397,28.793053,1.900205,2.375136,0.028661
7534212,11.27,6367,174,9.400354,2.093064,1401.269607,202.592583,4.115679,0.062789
7534243,12.877,4736,80,25869.05818,4127.483127,41.940698,3.953591,2.527532,0.040939
7537395,13.433,4931,157,168655.176368,31822.210777,16.1876,2.015547,2.12284,0.054075
7538756,11.66,6515,182,7.908334,3.166825,1477.666489,343.798112,4.143724,0.101044
7538896,12.087,5122,162,7519.567589,2524.301936,70.538585,13.897159,2.770337,0.085563
7539174,12.218,4755,80,18455.653534,1902.519495,49.225839,3.289264,2.597959,0.02902
7539283,13.494,5022,161,11616.712534,770.646079,58.302596,3.841063,2.683317,0.028612
7539446,11.638,7146,247,12.953949,3.02848,1018.948371,168.37016,4.002374,0.071762
7539538,10.715,6137,181,9.312891,2.195167,1476.943035,225.064996,4.130532,0.06618
7540174,12.745,4630,80,15238.622862,2571.086455,55.458384,5.475008,2.643948,0.042875
7541061,13.073,6372,195,476.634386,96.240649,207.641474,28.838057,3.286642,0.060317
7541659,12.665,6612,220,122.196642,19.539953,382.702496,47.335283,3.560218,0.053717
7543694,12.662,4657,80,22817.376032,2384.793622,45.321179,3.059869,2.557545,0.029321
7543850,12.234,5443,163,106.916351,9.664138,521.348405,40.659574,3.652238,0.03387
7545559,12.853,6936,226,40.684091,19.714306,610.412026,172.59229,3.773368,0.122796
7545634,13.49,4969,156,736.759958,67.892465,225.25778,17.430995,3.268005,0.033607
7546098,11.293,4871,80,789.733979,44.566175,222.287295,9.812456,3.257914,0.019171
7547646,10.986,4945,80,10281.1379,727.828525,62.871826,3.214216,2.71273,0.022203
7547839,13.39,4901,158,12401.463402,1127.027366,57.925203,4.470798,2.6752,0.03352
7548655,12.665,5222,155,107.74224,16.104012,543.946108,57.132566,3.661665,0.045615
7548661,11.975,6095,165,25.682125,5.324352,910.001559,123.06961,3.918719,0.058734
7548833,11.399,6476,179,73.19524,4.632837,505.110979,34.429357,3.676231,0.029602
7549383,10.966,5847,181,6.229648,1.655624,1907.888595,318.604167,4.23121,0.072524
7550235,12.358,5046,80,1924.551297,191.628177,138.996604,9.050212,3.061668,0.028277
7550955,12.252,4814,80,3711.459243,193.558106,106.028463,4.459832,2.933866,0.018268
7551643,12.457,5048,80,2924.30964,241.754807,113.372684,6.450543,2.973258,0.02471
